Report Period,Institution ID,Institution Name,Percent Medical Exemptions,Percent Religious Exemptions,Percent Immunized Measles,Percent Immunized Mumps,Percent Immunized Rubella,Percent Completely Immunized,Street Address,City,State,Zip Code,Location 
2018-2019,33432105,FINGER LAKES HEALTH COLLEGE OF NURSING,0.00,0,80.3,80.3,80.3,80.3,196 NORTH ST.,GENEVA,NY,14456,"196 NORTH ST.
GENEVA, NY 14456
(42.876261000000056, -76.98768749999994)"
2018-2019,73341259,ST PAUL'S SCHOOL OF NURSING - QUEENS,0.00,0.23,99.8,99.8,99.8,99.8,97-77 QUEENS BLVD,REGO PARK,NY,11374,"97-77 QUEENS BLVD
REGO PARK, NY 11374
(40.72891667600004, -73.85837373799995)"
2018-2019,73312140,MARYMOUNT MANHATTAN COLLEGE,0.05,0.59,99.4,99.4,99.4,99.4,221 EAST 71ST ST,NEW YORK,NY,10021,"221 EAST 71ST ST
NEW YORK, NY 10021
(40.76856992100005, -73.95983283399994)"
2018-2019,53663159,NEW YORK MEDICAL COLLEGE,0.00,0,99.6,99.7,99.7,99.6,95 GRASSLANDS RD,VALHALLA,NY,10595,"95 GRASSLANDS RD
VALHALLA, NY 10595
(41.08379400000007, -73.81049399999995)"
2018-2019,11491028,HUDSON VALLEY COMMUNITY COLLEGE,0.11,0.34,98.3,98.3,98.3,98.3,80 VANDENBURGH AVE,TROY,NY,12180,"80 VANDENBURGH AVE
TROY, NY 12180
(42.692589000000055, -73.67795549999994)"
2018-2019,71313215,SUNY COLLEGE OF OPTOMETRY,0.00,0,100,100,100,100,33 W 42ND ST,NEW YORK,NY,10036,"33 W 42ND ST
NEW YORK, NY 10036
(40.754157862000056, -73.98238553999994)"
2018-2019,21422071,SUNY COLLEGE OF ENVIROMENTAL SCIENCE AND,0.14,0,99.7,99.7,99.7,99.7,ONE FORESTRY DR,SYRACUSE,NY,13210,"ONE FORESTRY DR
SYRACUSE, NY 13210
(43.03542997100004, -76.13639424899998)"
2018-2019,63282270,NEW YORK COLLEGE OF TRADITIONAL CHINESE,0.00,2.31,56.1,56.1,56.1,56.1,200 OLD COUNTRY RD SUITE 500,MINEOLA,NY,11501,"200 OLD COUNTRY RD SUITE 500
MINEOLA, NY 11501
(40.73952600000007, -73.63858949999997)"
2018-2019,53502148,YESHIVATH VIZNITZ,0.00,0.97,91.2,93,93,91.2,15 ELYON RD,MONSEY,NY,10952,"15 ELYON RD
MONSEY, NY 10952
(41.11478143000005, -74.07097602599998)"
2018-2019,41142129,SUNY BUFFALO,0.03,0.16,99.8,99.8,99.8,99.8,3435 MAIN ST,BUFFALO,NY,14214,"3435 MAIN ST
BUFFALO, NY 14214
(42.95512800000006, -78.82109099999997)"
2018-2019,73313224,TEACHERS COLLEGE,0.11,0.05,99.2,99.4,99.4,99.1,525 W 120TH ST,NEW YORK,NY,10027,"525 W 120TH ST
NEW YORK, NY 10027
(40.81026600000007, -73.96051499999999)"
2018-2019,44061114,JAMESTOWN BUSINESS COLLEGE,0.34,0.67,99,99,99,99,7 FAIRMOUNT AVE,JAMESTOWN,NY,14701,"7 FAIRMOUNT AVE
JAMESTOWN, NY 14701
(42.095674950000046, -79.24960444699997)"
2018-2019,73312173,BARNARD COLLEGE,0.04,0.26,99.7,99.7,99.7,99.7,3009 BROADWAY,NEW YORK,NY,10027,"3009 BROADWAY
NEW YORK, NY 10027
(40.808820215000026, -73.96346907199995)"
2018-2019,23612082,ITHACA COLLEGE,0.03,0.34,97.5,97.6,97.6,97.5,201 HAMMOND HEALTH CENTER,ITHACA,NY,14850,"201 HAMMOND HEALTH CENTER
ITHACA, NY 14850
(42.423100000000034, -76.49422999999996)"
2018-2019,72312188,CUNY HUNTER COLLEGE,0.01,0.05,99.9,99.9,99.9,99.9,695 PARK AVE,NEW YORK,NY,10021,"695 PARK AVE
NEW YORK, NY 10021
(40.768813677000026, -73.96528878799995)"
2018-2019,72341272,SWEDISH INSTITUTE COLLEGE OF HEALTH SCIE,0.00,0,91.7,91.7,91.7,91.7,226 WEST 26TH ST,NEW YORK,NY,10001,"226 WEST 26TH ST
NEW YORK, NY 10001
(40.746339000000035, -73.99565549999994)"
2018-2019,33432104,HOBART COLLEGE & WILLIAM SMITH COLLEGES,0.04,0.18,99.8,99.8,99.8,99.8,119 SAINT CLAIR ST,GENEVA,NY,14456,"119 SAINT CLAIR ST
GENEVA, NY 14456
(42.85590300000007, -76.98568499999999)"
2018-2019,63282282,MOLLOY COLLEGE,0.07,0.1,99.8,99.8,99.8,99.8,1000 HEMPSTEAD AVE,ROCKVILLE CENTRE,NY,11571,"1000 HEMPSTEAD AVE
ROCKVILLE CENTRE, NY 11571
(40.68641413700004, -73.62483060399995)"
2018-2019,11591037,SULLIVAN COUNTY COMMUNITY COLLEGE,0.00,1.11,98.9,98.9,98.9,98.9,112 COLLEGE RD,LOCH SHELDRAKE,NY,12759,"112 COLLEGE RD
LOCH SHELDRAKE, NY 12759
(41.76473796200003, -74.66881752299997)"
2018-2019,51661169,WESTCHESTER COMMUNITY COLLEGE,0.02,0.12,99.9,99.9,99.9,99.9,75 GRASSLANDS RD,VALHALLA,NY,10595,"75 GRASSLANDS RD
VALHALLA, NY 10595
(41.06540700000005, -73.78926299999995)"
2018-2019,21032042,SUNY BINGHAMTON,0.03,0.23,99.7,99.7,99.7,99.7,VESTAL PARKWAY E,BINGHAMTON,NY,13902,"VESTAL PARKWAY E
BINGHAMTON, NY 13902
(42.092078171000026, -75.94794619899994)"
2018-2019,53502139,NYACK COLLEGE,0.06,0.06,99.9,99.9,99.9,99.9,1 SOUTH BLVD,NYACK,NY,10960,"1 SOUTH BLVD
NYACK, NY 10960
(41.08623587100004, -73.92889754099997)"
2018-2019,23472073,HARTWICK COLLEGE,0.00,0,100,100,100,100,1 HARTWICK DRIVE,ONEONTA,NY,13820,"1 HARTWICK DRIVE
ONEONTA, NY 13820
(42.45743502700003, -75.07197282499999)"
2018-2019,51501140,ROCKLAND COMMUNITY COLLEGE,0.07,0.45,98.7,98.6,98.6,98.5,145 COLLEGE RD,SUFFERN,NY,10901,"145 COLLEGE RD
SUFFERN, NY 10901
(41.133710790000066, -74.08301126899994)"
2018-2019,73312230,YESHIVA UNIVERSITY - KATZ SCHOOL,0.00,0,85.7,85.7,85.7,85.7,500 W 185TH ST,NEW YORK,NY,10033,"500 W 185TH ST
NEW YORK, NY 10033
(40.85075623600005, -73.92982859299997)"
2018-2019,41141123,ERIE COMMUNITY COLLEGE NORTH CAMPUS,0.12,0.14,98.6,98.6,98.6,98.6,121 ELLICOTT STREET ROOM 118,BUFFALO,NY,14203,"121 ELLICOTT STREET ROOM 118
BUFFALO, NY 14203
(42.882098109000026, -78.87315188899998)"
2018-2019,73313171,GERSTNER SLOAN-KETTERING GRADUATE SCHOOL,0.00,0,100,100,100,100,1275 YORK AVE,NEW YORK,NY,10065,"1275 YORK AVE
NEW YORK, NY 10065
(40.76395105600005, -73.95589936099998)"
2018-2019,11091013,CLINTON COMMUNITY COLLEGE,0.00,0.13,99.9,99.9,99.9,99.9,RR 3,PLATTSBURGH,NY,12901,"RR 3
PLATTSBURGH, NY 12901
(44.70479000000006, -73.45983999999999)"
2018-2019,73332325,PRATT INSTITUTE,0.11,0.19,98.7,98.7,98.7,98.7,200 WILLOUGHBY AVE,BROOKLYN,NY,11205,"200 WILLOUGHBY AVE
BROOKLYN, NY 11205
(40.692007415000035, -73.96397230999997)"
2018-2019,72341265,CUNY STELLA AND CHARLES GUTTMAN COMMUNIT,0.00,0.11,99.9,99.9,99.9,99.9,50 WEST 40TH ST.,NEW YORK,NY,10018,"50 WEST 40TH ST.
NEW YORK, NY 10018
(40.753051439000046, -73.98393868399995)"
2018-2019,61581349,SUFFOLK COUNTY COMMUNITY COLLEGE,0.06,0.23,88.5,88.6,88.6,88.5,533 COLLEGE RD,SELDEN,NY,11784,"533 COLLEGE RD
SELDEN, NY 11784
(40.846659946000045, -73.05276340599994)"
2018-2019,13492029,RENSSELAER POLYTECHNIC INSTITUTE,0.06,0.15,97.5,97.5,97.5,97.5,110 8TH ST,TROY,NY,12181,"110 8TH ST
TROY, NY 12181
(42.73133793000005, -73.68395473299995)"
2018-2019,13522031,SKIDMORE COLLEGE,0.00,0.62,97.8,98.1,98.1,97.7,815 N BROADWAY,SARATOGA SPRINGS,NY,12866,"815 N BROADWAY
SARATOGA SPRINGS, NY 12866
(43.09902000000005, -73.78449749999999)"
2018-2019,53662145,CONCORDIA COLLEGE,0.12,0,99.9,99.9,99.9,99.9,171 WHITE PLAINS RD,BRONXVILLE,NY,10708,"171 WHITE PLAINS RD
BRONXVILLE, NY 10708
(40.94252030500007, -73.82072345999995)"
2018-2019,73332243,LONG ISLAND UNIVERSITY - BROOKLYN CAMPUS,0.21,0.21,98.3,98,97.9,97.9,1 UNIVERSITY PLZ,BROOKLYN,NY,11201,"1 UNIVERSITY PLZ
BROOKLYN, NY 11201
(40.69118449600006, -73.98145784399998)"
2018-2019,21211048,HERKIMER COUNTY COMMUNITY COLLEGE,0.00,0,99.4,99.8,99.8,98.4,100 RESERVOIR RD,HERKIMER,NY,13350,"100 RESERVOIR RD
HERKIMER, NY 13350
(43.033522005000066, -75.00143713699998)"
2018-2019,54661169,CENTER FOR ULTRASOUND RESEARCH & EDUCATI,0.00,0,100,100,100,100,333 WESTCHESTER AVENUE,WHITE PLAINS,NY,10604,"333 WESTCHESTER AVENUE
WHITE PLAINS, NY 10604
(41.028399000000036, -73.74677849999995)"
2018-2019,73332349,YESHIVA DERECH CHAIM,0.00,0,100,100,100,100,1573 39TH ST.,BROOKLYN,NY,11218,"1573 39TH ST.
BROOKLYN, NY 11218
(40.636775975000035, -73.97988378599996)"
2018-2019,23411057,ST ELIZABETH COLLEGE OF NURSING,0.00,0,100,100,100,100,2215 GENESEE ST,UTICA,NY,13501,"2215 GENESEE ST
UTICA, NY 13501
(43.08294051900003, -75.26840234599996)"
2018-2019,63582291,LONG ISLAND UNIVERSITY - BRENTWOOD CAMPU,0.47,0,99.5,99.5,99.5,99.5,SECOND AVENUE,BRENTWOOD,NY,11717,"SECOND AVENUE
BRENTWOOD, NY 11717
(40.77833947000005, -73.23881430299997)"
2018-2019,13011007,MARIA COLLEGE OF ALBANY,0.00,0,99.9,99.9,99.9,99.9,700 NEW SCOTLAND AVE,ALBANY,NY,12208,"700 NEW SCOTLAND AVE
ALBANY, NY 12208
(42.65878554900007, -73.80744487399994)"
2018-2019,53662146,ACADEMY FOR JEWISH RELIGION,0.00,0,21.4,21.4,21.4,21.4,28 WELLS AVENUE,YONKERS,NY,10701,"28 WELLS AVENUE
YONKERS, NY 10701
(40.93640794100003, -73.89874383699998)"
2018-2019,63282705,SH'OR YOSHUV RABBINICAL COLLEGE,0.00,0.52,99.5,99.5,99.5,99.5,1 CEDAR LAWN AVE,LAWRENCE,NY,11559,"1 CEDAR LAWN AVE
LAWRENCE, NY 11559
(40.60566785000003, -73.74078559199995)"
2018-2019,72311176,CUNY BOROUGH MANHATTAN COMMUNITY COLLEGE,0.05,0.08,99.9,99.9,99.9,99.9,199 CHAMBERS ST,NEW YORK,NY,10007,"199 CHAMBERS ST
NEW YORK, NY 10007
(40.71696232700003, -74.01231478399995)"
2018-2019,13013004,ALBANY MEDICAL COLLEGE,0.00,0,99.7,99.8,100,99.5,47 NEW SCOTLAND AVE,ALBANY,NY,12208,"47 NEW SCOTLAND AVE
ALBANY, NY 12208
(42.65318448200003, -73.77408916099995)"
2018-2019,21121047,SUNY COLLEGE OF TECHNOLOGY AT DELHI,0.04,0.04,98.9,98.9,98.9,98.9,2 MAIN ST,DELHI,NY,13753,"2 MAIN ST
DELHI, NY 13753
(42.267314826000074, -74.92314528699995)"
2018-2019,23032040,DAVIS COLLEGE -ATTN: STUDENT HEALTH,0.00,3.13,96.9,96.9,96.9,96.9,400 RIVERSIDE DR,JOHNSON CITY,NY,13790,"400 RIVERSIDE DR
JOHNSON CITY, NY 13790
(42.101199000000065, -75.96180899999996)"
2018-2019,43142119,CANISIUS COLLEGE,0.04,0.12,99.3,99.5,99.5,99.3,2001 MAIN ST,BUFFALO,NY,14208,"2001 MAIN ST
BUFFALO, NY 14208
(42.925212000000045, -78.85269449999998)"
2018-2019,73332353,YESHIVA OF MACHZIKAI HADAS,0.00,0,100,100,100,100,1301 47TH ST.,BROOKLYN,NY,11219,"1301 47TH ST.
BROOKLYN, NY 11219
(40.63600805200008, -73.99066730499999)"
2018-2019,72341264,CUNY FIORELLO H. LAGUARDIA COMMUNITY COL,0.14,0.22,99.6,99.6,99.6,99.6,3110 THOMSOM AVE,LONG ISLAND CITY,NY,11101,"3110 THOMSOM AVE
LONG ISLAND CITY, NY 11101
(40.74395400000003, -73.93506299999996)"
2018-2019,73313306,NEW YORK GRADUATE SCHOOL OF PSYCHOANALYS,0.00,0,92.3,92.3,92.3,92.3,16 WEST TENTH ST,NEW YORK,NY,10011,"16 WEST TENTH ST
NEW YORK, NY 10011
(40.73383640800006, -73.99651249599998)"
2018-2019,13133021,UNIFICATION THEOLOGICAL SEMINARY - BARRY,12.50,0,62.5,87.5,87.5,62.5,30 SEMINARY DR,BARRYTOWN,NY,12507,"30 SEMINARY DR
BARRYTOWN, NY 12507
(42.00360282300005, -73.92532319699995)"
2018-2019,23422065,LE MOYNE COLLEGE,0.00,0.1,99.6,99.6,99.6,99.6,1419 SALT SPRINGS RD,SYRACUSE,NY,13214,"1419 SALT SPRINGS RD
SYRACUSE, NY 13214
(43.04874600000005, -76.08786749999996)"
2018-2019,11541036,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY,0.00,0.32,99.7,99.7,99.7,99.7,RT 7,COBLESKILL,NY,12043,"RT 7
COBLESKILL, NY 12043
(42.67993160000003, -74.46040255999998)"
2018-2019,21462072,SUNY COLLEGE AT OSWEGO,0.04,0.08,99.9,99.9,99.9,99.9,WALKER HEALTH CENTER,OSWEGO,NY,13126,"WALKER HEALTH CENTER
OSWEGO, NY 13126
(43.44701093700007, -76.40883999999994)"
2018-2019,53661143,COCHRAN SCHOOL OF NURSING,0.00,0,100,100,100,100,967 N BROADWAY,YONKERS,NY,10701,"967 N BROADWAY
YONKERS, NY 10701
(40.96882800000003, -73.88632349999995)"
2018-2019,21411058,SUNY POLYTECHNIC INSTITUTE,0.00,0.27,99.5,99.7,99.7,99.5,,UTICA,NY,13504,"UTICA, NY 13504
(43.092517900000075, -75.18503549999997)"
2018-2019,73312213,NEW YORK SCHOOL OF INTERIOR DESIGN,0.00,0.23,98.4,98.4,98.4,98.4,170 E 70TH ST,NEW YORK,NY,10021,"170 E 70TH ST
NEW YORK, NY 10021
(40.76873978000003, -73.96235601299998)"
2018-2019,63582292,COLD SPRING HARBOR LABORATORY,0.00,0,100,100,100,100,ONE BUNGTOWN ROAD,COLD SPRING HARBOR,NY,11724,"ONE BUNGTOWN ROAD
COLD SPRING HARBOR, NY 11724
(40.86209284200004, -73.46887143899994)"
2018-2019,31571105,CORNING COMMUNITY COLLEGE,0.19,0.24,94.2,95.1,95.1,94.2,1 ACADEMY DR,CORNING,NY,14830,"1 ACADEMY DR
CORNING, NY 14830
(42.13008860000008, -77.04565479999997)"
2018-2019,53663167,BEER YAAKOV TALMUDIC SEMINARY,0.00,0.4,99,99.4,99.4,99,12 JEFFERSON AVE,SPRING VALLEY,NY,10977,"12 JEFFERSON AVE
SPRING VALLEY, NY 10977
(41.13934210600007, -74.02848165799998)"
2018-2019,71312092,FASHION INSTITUTE OF TECHNOLOGY,0.01,0.42,99.2,99.4,99.4,99.2,SEVENTH AVENUE AT 27TH ST RM A402,NEW YORK,NY,10001,"SEVENTH AVENUE AT 27TH ST RM A402
NEW YORK, NY 10001
(40.746609000000035, -73.99379249999998)"
2018-2019,63282277,LONG ISLAND UNIVERSITY - CW POST CAMPUS,0.05,0.09,97.5,97.5,97.5,97.5,720 NORTHERN BLVD,BROOKVILLE,NY,11548,"720 NORTHERN BLVD
BROOKVILLE, NY 11548
(40.82329604000006, -73.59284931999997)"
2018-2019,43022314,HOUGHTON COLLEGE,0.11,1.77,98,98,98,98,1 WILLARD AVE,HOUGHTON,NY,14744,"1 WILLARD AVE
HOUGHTON, NY 14744
(42.42549600000007, -78.15705069499995)"
2018-2019,72352268,CUNY COLLEGE OF STATEN ISLAND,0.02,0.06,99.9,99.9,99.9,99.9,2800 VICTORY BLVD,STATEN ISLAND,NY,10314,"2800 VICTORY BLVD
STATEN ISLAND, NY 10314
(40.60547100000008, -74.15016299999996)"
2018-2019,73332339,RABBINICAL ACADEMY MESIVTA RABBI CHAIM B,0.00,0.8,93.3,93.3,93.3,93.3,1585 CONEY ISLAND AVENUE,BROOKLYN,NY,11230,"1585 CONEY ISLAND AVENUE
BROOKLYN, NY 11230
(40.61873340600005, -73.96399232199997)"
2018-2019,24421062,BRYANT & STRATTON COLLEGE - SYRACUSE,0.00,0,100,100,100,100,953 JAMES ST,SYRACUSE,NY,13203,"953 JAMES ST
SYRACUSE, NY 13203
(43.058293769000045, -76.13654635999995)"
2018-2019,73312183,COOPER UNION FOR THE ADVANCEMENT OF SCIE,0.11,0.42,99.5,99.5,99.5,99.5,30 COOPER SQ,NEW YORK,NY,10003,"30 COOPER SQ
NEW YORK, NY 10003
(40.728034498000056, -73.99131892399998)"
2018-2019,23612081,CORNELL UNIVERSITY,0.09,0.12,99.3,99.4,99.4,99.3,HO PLAZA,ITHACA,NY,14853,"HO PLAZA
ITHACA, NY 14853
(42.44629953000003, -76.48503118299999)"
2018-2019,11151024,NORTH COUNTRY COMMUNITY COLLEGE,0.00,0.4,98.4,98.4,98.4,98.4,23 SANTANONI AVE,SARANAC LAKE,NY,12983,"23 SANTANONI AVE
SARANAC LAKE, NY 12983
(44.31918173100007, -74.12075888999993)"
2018-2019,73313172,BANK STREET COLLEGE OF EDUCATION,0.26,0,99,99,99,99,610 W 112TH ST,NEW YORK,NY,10025,"610 W 112TH ST
NEW YORK, NY 10025
(40.80575549200006, -73.96654707999994)"
2018-2019,14011335,MILDRED ELLEY,0.00,0.27,97.3,97,97.8,96.7,855 CENTRAL AVE #1,ALBANY,NY,12206,"855 CENTRAL AVE #1
ALBANY, NY 12206
(42.67986144200006, -73.78975072699996)"
2018-2019,33563090,NEW YORK CHIROPRACTIC COLLEGE,0.00,1.54,98.5,98.5,98.5,98.5,2360 ROUTE 89,SENECA FALLS,NY,13148,"2360 ROUTE 89
SENECA FALLS, NY 13148
(42.910848000000044, -76.75395595999998)"
2018-2019,73332336,MESIVTA OF EASTERN PARKWAY RABBINICAL SE,0.00,3.33,96.7,96.7,96.7,96.7,510 DAHILL ROAD,BROOKLYN,NY,11218,"510 DAHILL ROAD
BROOKLYN, NY 11218
(40.635177611000074, -73.97907957799998)"
2018-2019,72341268,"CHRISTIE'S EDUCATION, INC",0.00,0,100,100,100,100,11 WEST 42ND ST   8TH FLOOR,NEW YORK,NY,10036,"11 WEST 42ND ST   8TH FLOOR
NEW YORK, NY 10036
(40.754313000000025, -73.98181349999999)"
2018-2019,41061115,JAMESTOWN COMMUNITY COLLEGE,0.05,0.29,99.7,99.7,99.7,99.7,525 FALCONER ST,JAMESTOWN,NY,14701,"525 FALCONER ST
JAMESTOWN, NY 14701
(42.11435700000004, -79.21965599999999)"
2018-2019,53502147,YESHIVA SHAAREI TORAH OF ROCKLAND,0.00,1.79,98.2,98.2,98.2,98.2,91 WEST CARLTON ROAD,SUFFERN,NY,10901,"91 WEST CARLTON ROAD
SUFFERN, NY 10901
(41.124300523000045, -74.08962416899993)"
2018-2019,72341274,TOURO COLLEGE AND UNIVERSITY,0.06,0.11,99.2,99.8,99.8,99.2,"27-33 WEST 23RD ST, 5TH FLOOR",NEW YORK,NY,10010,"27-33 WEST 23RD ST, 5TH FLOOR
NEW YORK, NY 10010
(40.74212000000006, -73.99086219899993)"
2018-2019,33262100,ST JOHN FISHER COLLEGE,0.12,0.17,99.7,99.7,99.7,99.7,3690 EAST AVE,ROCHESTER,NY,14618,"3690 EAST AVE
ROCHESTER, NY 14618
(43.11743719800006, -77.51734556799994)"
2018-2019,23412056,PRATT AT MUNSON-WILLIAMS-PROCTOR INST.,0.00,0,91.9,91.9,91.9,91.9,310 GENESEE ST,UTICA,NY,13502,"310 GENESEE ST
UTICA, NY 13502
(43.097228003000055, -75.23987143099998)"
2018-2019,73312233,YESHIVA UNIVERSITY GRADUATE PROGRAM ON B,0.00,0,99.5,99.5,99.5,99.5,245 LEXINGTON AVENUE,NEW YORK,NY,10016,"245 LEXINGTON AVENUE
NEW YORK, NY 10016
(40.74675403800006, -73.97943235099996)"
2018-2019,73313209,NEW YORK LAW SCHOOL,0.00,0,98.1,98.8,97.4,96.6,57 WORTH ST,NEW YORK,NY,10013,"57 WORTH ST
NEW YORK, NY 10013
(40.71721915900008, -74.00648215399997)"
2018-2019,53662165,OHR HAMEIR THEOLOGICAL SEMINARY,0.00,0,100,100,100,100,141 FURNACE WOODS ROAD,CORTLANDT MANOR,NY,10567,"141 FURNACE WOODS ROAD
CORTLANDT MANOR, NY 10567
(41.26886310700007, -73.88878219399999)"
2018-2019,72321235,CUNY HERBERT H LEHMAN COLLEGE,0.03,0.07,99.9,99.9,99.9,99.9,250 BEDFORD PARK BLVD W,BRONX,NY,10468,"250 BEDFORD PARK BLVD W
BRONX, NY 10468
(40.87509948700006, -73.89307918299994)"
2018-2019,41142128,SUNY COLLEGE AT BUFFALO,0.54,0.31,96.6,96.6,96.6,96.6,1300 ELMWOOD AVE,BUFFALO,NY,14222,"1300 ELMWOOD AVE
BUFFALO, NY 14222
(42.931350000000066, -78.88368149999997)"
2018-2019,51662167,SUNY COLLEGE AT PURCHASE,0.07,0.79,99.1,99.1,99.1,99.1,735 ANDERSON HILL RD,PURCHASE,NY,10577,"735 ANDERSON HILL RD
PURCHASE, NY 10577
(41.03878629700006, -73.69620390599994)"
2018-2019,73332348,UNITED TALMUDICAL SEMINARY,0.19,4.03,94.5,94.8,94.8,94.5,191 RODNEY ST,BROOKLYN,NY,11211,"191 RODNEY ST
BROOKLYN, NY 11211
(40.70575800000006, -73.95916949999997)"
2018-2019,73311217,PHILLIPS BETH ISRAEL SCHOOL OF NURSING,0.00,0,100,100,100,100,776 AVENUE OF THE AMERICAS #4,NEW YORK,NY,10001,"776 AVENUE OF THE AMERICAS #4
NEW YORK, NY 10001
(40.745025000000055, -73.99102949999997)"
2018-2019,53502141,ST THOMAS AQUINAS COLLEGE,0.08,0.08,99.8,99.8,99.8,99.8,130 ROUTE 340,SPARKILL,NY,10976,"130 ROUTE 340
SPARKILL, NY 10976
(41.040572147000034, -73.93678709299996)"
2018-2019,73312174,RABBI ISAAC ELCHANAN - THEOLOGICAL SEM.,0.00,0,100,100,100,100,500 W 185TH ST,NEW YORK,NY,10033,"500 W 185TH ST
NEW YORK, NY 10033
(40.85075623600005, -73.92982859299997)"
2018-2019,11092014,SUNY COLLEGE AT PLATTSBURGH,0.08,0.2,99.7,99.7,99.7,99.7,101 BROAD ST,PLATTSBURGH,NY,12901,"101 BROAD ST
PLATTSBURGH, NY 12901
(44.695093427000074, -73.46586772199998)"
2018-2019,73332329,ST JOSEPH'S COLLEGE -BROOKLYN CAMPUS,0.27,0,94.7,95,95,94.7,245 CLINTON AVE,BROOKLYN,NY,11205,"245 CLINTON AVE
BROOKLYN, NY 11205
(40.69030924300006, -73.96823574499996)"
2018-2019,73312234,YESHIVA UNIVERSITY CARDOZO SCHOOL OF LAW,0.00,0,99.1,99.1,99.1,99.1,55 5TH AVENUE,NEW YORK,NY,10003,"55 5TH AVENUE
NEW YORK, NY 10003
(40.734915036000075, -73.99437360299999)"
2018-2019,24421061,BRYANT & STRATTON COLLEGE - NORTH CAMPUS,0.00,0,100,100,100,100,8687 CARLING RD,LIVERPOOL,NY,13090,"8687 CARLING RD
LIVERPOOL, NY 13090
(43.189709092000044, -76.23904470499997)"
2018-2019,61582284,SUNY COLLEGE OF TECHNOLOGY AT FARMINGDAL,0.18,0.27,99.5,99.5,99.5,99.5,1250 MELVILLE RD,FARMINGDALE,NY,11735,"1250 MELVILLE RD
FARMINGDALE, NY 11735
(40.74921963400004, -73.42844410599997)"
2018-2019,13522032,SUNY EMPIRE STATE COLLEGE,0.26,0.47,92.2,92.2,92.2,92.2,2 UNION AVENUE,SARATOGA SPRINGS,NY,12866,"2 UNION AVENUE
SARATOGA SPRINGS, NY 12866
(43.07727600000004, -73.78250399999996)"
2018-2019,61281279,NASSAU COMMUNITY COLLEGE,0.07,0.19,99.4,99.4,99.4,99.4,1 EDUCATION DR,GARDEN CITY,NY,11530,"1 EDUCATION DR
GARDEN CITY, NY 11530
(40.729938298000036, -73.59242896099994)"
2018-2019,73313223,NEW YORK CONSERVATORY FOR DRAMATIC ARTS,0.39,0.78,97.7,97.7,97.7,97.7,39 WEST 19TH ST.,NEW YORK,NY,10011,"39 WEST 19TH ST.
NEW YORK, NY 10011
(40.73999338100003, -73.99346823799993)"
2018-2019,72341269,ASA COLLEGE,0.22,0,99.8,99.8,99.8,99.8,81 WILLOUGHBY ST,BROOKLYN,NY,11201,"81 WILLOUGHBY ST
BROOKLYN, NY 11201
(40.69222316300005, -73.98586034099998)"
2018-2019,43022108,ALFRED UNIVERSITY,0.12,0.29,99.6,99.6,99.6,99.6,19 PARK ST,ALFRED,NY,14802,"19 PARK ST
ALFRED, NY 14802
(42.25214454400003, -77.78883454899994)"
2018-2019,43402134,NIAGARA UNIVERSITY,0.03,0,98.4,100,100,98.4,STUDENT HEALTH SERVICES,NIAGARA UNIVERSITY,NY,14109,"STUDENT HEALTH SERVICES
NIAGARA UNIVERSITY, NY 14109
(43.13569000000007, -79.03911999999997)"
2018-2019,72312189,CUNY JOHN JAY COLLEGE CRIMINAL JUSTICE,0.04,0.07,98.6,98.6,98.6,98.5,445 WEST 59TH ST SUITE 2308,NEW YORK,NY,10019,"445 WEST 59TH ST SUITE 2308
NEW YORK, NY 10019
(40.77010640700007, -73.98683000999995)"
2018-2019,53661144,MONTEFIORI SCHOOL OF NURSING,0.65,0,77.1,77.1,77.1,77.1,53 VALENTINE STREET,MOUNT VERNON,NY,10550,"53 VALENTINE STREET
MOUNT VERNON, NY 10550
(40.91209118000006, -73.84041388699995)"
2018-2019,21271054,FULTON-MONTGOMERY COMMUNITY COLLEGE,0.07,0,99.9,99.9,99.9,99.9,2805 STATE HIGHWAY 67,JOHNSTOWN,NY,12095,"2805 STATE HIGHWAY 67
JOHNSTOWN, NY 12095
(42.98165813500003, -74.29538378599995)"
2018-2019,23252052,COLGATE UNIVERSITY,0.00,0.34,99.7,99.7,99.7,99.7,13 OAK DR,HAMILTON,NY,13346,"13 OAK DR
HAMILTON, NY 13346
(42.819777127000066, -75.53575060199995)"
2018-2019,13012005,COLLEGE OF SAINT ROSE,0.03,0.4,99.5,99.6,99.6,99.5,432 WESTERN AVE,ALBANY,NY,12203,"432 WESTERN AVE
ALBANY, NY 12203
(42.66468494500003, -73.78636945599999)"
2018-2019,73332355,YESHIVA OF NITRA RABBINICAL COLLEGE,0.00,3.23,82.6,88.4,88.4,82.6,194 DIVISION AVE,BROOKLYN,NY,11211,"194 DIVISION AVE
BROOKLYN, NY 11211
(40.70723400000003, -73.95981749999999)"
2018-2019,53662147,IONA COLLEGE,0.03,0.11,99.6,99.7,99.7,99.6,715 NORTH AVE,NEW ROCHELLE,NY,10801,"715 NORTH AVE
NEW ROCHELLE, NY 10801
(40.92551286300005, -73.78843082599997)"
2018-2019,33263099,ST BERNARD'S INSTITUTE OF THEOLOGY & MIN,0.00,3.33,96.7,96.7,96.7,96.7,120 FRENCH RD,ROCHESTER,NY,14618,"120 FRENCH RD
ROCHESTER, NY 14618
(43.102179000000035, -77.52649949999994)"
